Course,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Target
9,0,1,1,1,0,18,0,5,3,5,3,Dropout
11,0,0,1,1,1,21,0,6,4,6,1,Dropout
15,0,1,1,1,1,19,0,6,6,6,6,Graduate
12,0,0,1,1,1,22,0,7,7,8,8,Graduate
3,0,0,1,1,0,33,0,6,6,6,6,Graduate
16,0,0,1,1,0,20,0,6,5,6,5,Dropout
17,0,0,1,1,0,35,0,1,0,5,0,Dropout
4,0,1,1,1,0,24,0,12,6,12,10,Dropout
11,0,0,1,1,0,18,0,5,5,5,3,Enrolled
3,0,0,1,0,0,33,0,6,6,6,5,Graduate
12,0,0,1,0,1,22,0,8,7,8,7,Graduate
14,0,0,1,0,1,25,0,5,4,5,5,Graduate
5,0,0,1,1,0,20,0,6,6,6,5,Graduate
9,0,0,1,1,0,23,0,5,4,5,5,Enrolled
7,0,1,1,1,0,18,0,5,2,5,0,Enrolled
12,0,0,1,1,0,24,0,7,0,7,0,Dropout
15,0,0,0,0,0,21,1,6,6,6,6,Graduate
8,0,0,1,0,0,26,1,6,2,6,0,Dropout
16,0,0,1,0,0,39,0,6,3,6,0,Dropout
3,0,0,1,0,0,44,0,8,8,6,6,Graduate
7,0,0,1,1,0,19,1,5,5,5,3,Enrolled
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
6,0,0,1,0,0,19,0,5,5,5,5,Enrolled
12,0,1,0,0,0,19,0,7,4,7,0,Dropout
6,0,0,1,0,0,21,0,10,8,9,5,Dropout
2,0,0,1,0,0,20,0,0,0,0,0,Graduate
3,0,0,1,0,0,36,0,6,0,6,0,Dropout
4,0,0,1,0,0,43,0,18,18,13,13,Graduate
16,0,0,1,0,0,19,0,6,0,6,0,Dropout
5,0,1,1,0,0,20,0,10,10,11,11,Graduate
10,0,0,1,0,0,19,0,6,0,6,0,Dropout
6,0,0,1,0,0,20,0,6,4,6,4,Dropout
12,0,0,1,0,0,20,0,7,6,7,5,Dropout
16,0,0,1,0,0,20,0,7,6,7,3,Enrolled
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
9,0,0,1,0,1,18,0,5,3,5,3,Enrolled
6,0,0,1,0,0,19,0,5,5,5,5,Graduate
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,18,0,7,6,7,6,Dropout
12,0,0,1,0,0,20,0,7,6,7,7,Enrolled
10,0,0,1,0,1,20,0,6,2,6,4,Enrolled
9,0,0,1,0,0,20,0,5,3,5,3,Enrolled
6,0,0,1,0,0,18,0,5,5,5,5,Graduate
9,0,0,1,0,0,18,0,5,5,5,5,Graduate
11,0,0,1,0,0,21,0,6,3,6,2,Dropout
9,0,0,1,0,0,19,0,5,5,5,4,Graduate
2,0,0,1,0,0,19,0,0,0,0,0,Dropout
14,0,0,1,0,1,19,0,5,5,5,5,Graduate
6,0,0,1,0,0,19,0,6,6,6,6,Graduate
13,0,0,1,0,0,19,0,7,5,7,0,Dropout
6,0,0,1,0,0,20,0,6,6,6,5,Graduate
16,0,0,1,0,1,18,0,6,5,6,5,Enrolled
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,19,0,7,7,8,8,Graduate
12,0,0,1,0,1,18,0,7,7,8,7,Dropout
5,0,0,1,0,0,18,0,6,6,6,6,Graduate
9,0,0,1,0,0,19,0,5,5,5,5,Graduate
12,0,0,1,0,0,19,0,7,5,7,0,Dropout
10,0,0,1,0,0,20,0,9,9,7,7,Graduate
14,0,1,0,0,1,19,0,6,5,6,4,Dropout
14,0,0,1,0,0,20,0,5,4,5,4,Graduate
15,0,1,1,0,1,18,0,6,6,6,6,Graduate
12,0,0,1,0,1,20,0,7,5,8,7,Enrolled
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
12,0,0,1,0,0,19,0,7,6,7,6,Graduate
15,0,0,1,0,1,19,0,6,6,6,5,Graduate
9,0,1,0,0,0,22,0,5,0,5,0,Enrolled
10,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
16,0,0,1,0,1,19,0,6,5,6,5,Graduate
11,0,0,1,0,0,19,0,5,0,5,0,Dropout
11,0,0,1,0,0,20,0,6,5,6,3,Dropout
9,0,0,1,0,0,18,0,5,5,5,5,Graduate
12,0,0,1,0,1,20,0,7,6,8,7,Graduate
2,0,0,1,0,0,18,0,0,0,0,0,Enrolled
6,0,0,1,0,0,19,0,5,5,5,5,Graduate
16,0,0,1,0,0,18,0,6,3,6,5,Enrolled
16,0,0,1,0,0,18,0,6,6,6,5,Graduate
16,0,0,1,0,0,21,0,6,3,6,3,Dropout
16,0,0,1,0,0,19,0,6,6,6,4,Dropout
9,0,0,1,0,1,18,0,5,5,5,5,Graduate
10,0,0,1,0,1,18,0,6,6,6,6,Graduate
10,0,0,1,0,0,20,0,6,4,6,6,Graduate
3,0,0,1,0,1,24,0,6,5,6,5,Graduate
14,0,0,1,0,0,19,0,6,6,6,6,Dropout
12,0,0,1,0,1,18,0,7,7,8,7,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
16,0,0,1,0,0,21,0,6,4,6,3,Dropout
14,0,0,1,0,0,19,0,5,5,5,5,Graduate
15,0,0,1,0,1,19,0,6,6,6,6,Graduate
4,0,1,1,0,0,47,0,1,0,6,0,Enrolled
10,0,0,1,0,0,19,0,6,5,6,4,Graduate
12,0,0,1,0,0,29,0,8,7,8,7,Graduate
10,0,0,1,0,0,21,0,6,3,6,2,Dropout
6,0,0,1,0,0,28,0,5,4,5,4,Enrolled
13,0,0,1,0,0,20,0,7,7,8,8,Graduate
12,0,0,1,0,0,19,0,7,6,7,6,Graduate
3,0,0,1,0,0,26,0,6,3,6,5,Graduate
11,0,1,0,0,0,20,0,6,4,6,6,Dropout
14,0,0,1,0,1,18,0,5,3,5,4,Enrolled
16,0,0,1,0,0,27,0,6,5,6,5,Graduate
12,0,0,1,0,0,20,0,7,4,7,4,Dropout
16,0,0,1,0,0,18,0,6,5,6,5,Dropout
12,0,0,1,0,0,33,0,7,6,8,6,Dropout
16,0,0,1,0,0,35,0,21,21,19,19,Graduate
17,0,0,1,0,1,26,0,6,6,6,6,Enrolled
15,0,1,0,0,0,27,0,6,5,6,0,Dropout
5,0,0,0,0,0,19,0,6,6,6,0,Dropout
11,0,0,1,0,0,20,0,6,0,6,0,Dropout
9,0,1,0,0,0,20,0,5,3,5,3,Dropout
10,0,1,0,0,0,21,0,10,8,6,4,Enrolled
12,0,0,1,0,1,18,0,7,6,7,6,Graduate
6,0,0,1,0,0,24,0,6,2,6,0,Dropout
5,0,0,1,0,0,20,0,6,6,6,6,Graduate
11,0,0,1,0,1,21,0,6,6,6,6,Graduate
3,0,0,1,0,0,23,0,6,2,5,1,Enrolled
9,0,0,1,0,0,24,0,5,0,5,0,Dropout
16,0,0,1,0,0,21,0,6,0,6,0,Dropout
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
17,0,0,1,0,0,27,0,5,0,5,0,Dropout
12,0,0,1,0,0,18,0,8,8,8,8,Graduate
7,0,0,1,0,0,35,0,5,0,5,0,Dropout
16,0,0,1,0,0,18,0,7,7,7,7,Graduate
12,0,0,1,0,0,35,0,3,3,3,3,Enrolled
6,0,0,1,0,0,19,0,5,4,5,4,Graduate
10,0,0,1,0,0,20,0,6,6,6,6,Graduate
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
10,0,1,1,0,0,21,0,6,6,6,6,Graduate
10,0,0,1,0,1,18,0,6,5,6,4,Graduate
10,0,0,1,0,0,18,0,6,4,6,4,Graduate
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
6,0,0,1,0,0,19,0,6,6,6,5,Graduate
11,0,0,1,0,1,36,0,6,6,6,5,Dropout
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
12,0,0,1,0,1,18,0,7,6,7,6,Graduate
8,0,0,1,0,1,20,0,6,6,6,6,Graduate
17,0,0,1,0,1,26,0,5,0,5,0,Dropout
15,0,0,1,0,0,21,0,6,6,6,6,Graduate
13,0,0,1,0,0,25,0,7,6,8,8,Enrolled
9,0,0,1,0,1,19,0,5,5,5,5,Graduate
3,0,0,1,0,0,24,0,6,1,6,0,Dropout
3,0,0,1,0,1,27,0,6,1,6,0,Dropout
6,0,0,1,0,0,21,0,5,0,5,2,Dropout
9,0,0,1,0,1,18,0,5,4,5,3,Graduate
16,1,0,1,0,1,19,0,6,6,6,6,Graduate
11,0,0,1,0,0,18,0,6,4,6,2,Dropout
12,0,0,1,0,1,19,0,7,5,8,7,Graduate
12,0,0,1,0,1,19,0,7,6,8,7,Graduate
17,0,0,1,0,0,33,0,6,6,5,5,Graduate
9,0,0,1,0,0,45,0,5,5,5,5,Graduate
10,0,0,1,0,1,20,0,6,6,6,6,Graduate
14,0,0,1,0,0,28,0,5,0,5,0,Dropout
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
11,0,0,1,0,0,18,0,6,6,6,3,Graduate
11,0,0,1,0,0,38,0,6,0,6,0,Dropout
14,0,0,1,0,0,19,0,5,5,5,5,Graduate
11,0,0,1,0,1,21,0,6,5,6,5,Graduate
9,0,0,1,0,0,21,0,5,3,5,1,Dropout
10,0,0,1,0,1,22,0,6,5,6,6,Graduate
16,0,0,1,0,1,18,0,6,5,6,6,Graduate
10,1,0,1,0,1,18,0,6,6,6,6,Graduate
8,0,0,0,0,0,25,0,5,4,5,4,Dropout
6,0,1,0,0,0,24,0,6,3,6,3,Dropout
12,0,0,1,0,0,19,0,7,6,7,7,Enrolled
2,0,0,1,0,0,24,0,17,11,13,9,Enrolled
9,0,0,1,0,1,20,0,5,5,5,5,Graduate
9,0,0,0,0,0,25,0,5,0,5,0,Dropout
9,0,0,1,0,1,20,0,10,9,10,10,Graduate
12,0,0,1,0,0,23,0,8,8,8,8,Graduate
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
4,0,1,0,0,0,29,0,6,3,6,3,Dropout
11,0,0,1,0,0,21,0,6,6,6,4,Graduate
14,0,0,1,0,1,18,0,6,6,6,5,Graduate
5,0,0,1,0,0,19,0,6,5,6,5,Enrolled
15,0,0,1,0,1,18,0,6,6,6,6,Dropout
6,0,0,1,0,0,19,0,5,5,5,5,Graduate
15,0,0,1,0,0,18,0,6,1,6,0,Enrolled
9,0,0,1,0,0,18,0,5,5,5,5,Graduate
13,0,1,0,0,1,37,0,7,1,7,0,Dropout
17,0,0,1,0,0,29,0,5,5,5,5,Graduate
5,0,0,1,0,0,18,0,6,6,6,6,Enrolled
10,0,0,1,0,1,19,0,6,5,6,5,Graduate
10,0,1,0,0,0,22,0,10,6,7,2,Dropout
11,0,0,1,0,1,20,0,6,6,6,5,Graduate
3,0,0,1,0,0,34,0,6,0,6,0,Dropout
7,0,1,0,0,0,30,0,12,8,12,6,Dropout
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
15,0,0,1,0,0,18,0,6,4,6,3,Graduate
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
15,0,0,1,0,1,19,0,6,5,6,5,Graduate
5,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
4,0,0,1,0,1,21,0,6,6,6,5,Graduate
9,0,0,0,0,0,20,0,5,2,5,1,Dropout
9,0,0,1,0,0,20,0,5,5,5,5,Graduate
12,0,0,1,0,0,19,0,7,7,8,8,Graduate
10,0,0,1,0,0,20,0,6,6,6,6,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
16,0,0,1,0,0,20,0,6,5,6,3,Dropout
8,0,1,0,0,0,29,0,9,7,7,5,Dropout
12,0,0,1,0,1,18,0,7,7,8,8,Enrolled
12,0,0,1,0,1,20,0,7,7,8,7,Graduate
9,0,0,1,0,1,22,0,5,4,5,4,Graduate
3,0,0,1,0,1,47,0,6,5,6,6,Graduate
17,0,0,1,0,0,31,0,5,5,5,5,Graduate
5,0,0,1,0,1,21,0,6,5,6,6,Graduate
3,0,0,1,0,0,21,0,6,5,6,6,Graduate
15,0,0,1,0,0,24,0,6,6,6,6,Graduate
5,0,0,1,0,0,18,0,6,6,6,6,Enrolled
3,0,0,1,0,0,32,0,6,4,6,4,Graduate
3,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,0,24,0,8,8,8,8,Graduate
6,0,0,1,0,0,19,0,6,6,6,6,Graduate
4,0,1,1,0,1,19,0,6,6,6,6,Graduate
4,0,0,1,0,0,24,0,6,6,6,5,Enrolled
10,0,0,1,0,1,18,0,6,6,6,6,Graduate
5,0,0,1,0,1,19,0,6,5,6,2,Dropout
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
13,0,0,1,0,0,20,0,7,7,8,8,Graduate
12,0,0,1,0,0,18,0,8,8,8,8,Graduate
14,0,0,1,0,0,18,0,6,6,6,6,Graduate
6,0,0,1,0,1,21,0,5,4,5,5,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
14,0,1,0,0,0,18,0,5,2,5,4,Dropout
10,0,0,1,0,0,19,0,6,0,6,0,Dropout
14,0,0,1,0,0,19,0,6,4,6,4,Enrolled
14,0,0,1,0,0,18,0,6,6,6,4,Graduate
8,0,0,1,0,0,34,0,5,1,5,0,Dropout
6,0,0,1,0,0,19,0,5,5,5,5,Graduate
8,0,1,0,0,0,19,0,6,5,6,2,Dropout
10,0,1,1,0,0,26,0,6,6,6,6,Graduate
16,0,0,1,0,0,21,0,6,3,6,3,Dropout
9,0,0,1,0,1,18,0,5,5,5,5,Graduate
16,0,0,1,0,1,20,0,6,5,6,5,Graduate
9,0,0,1,0,0,25,0,5,2,5,0,Dropout
9,0,0,1,0,0,18,0,5,5,5,5,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
12,0,0,1,0,0,19,0,7,7,8,8,Graduate
10,0,0,1,0,1,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,20,0,7,6,8,6,Enrolled
6,0,1,0,0,0,26,0,3,0,6,0,Dropout
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
12,0,0,1,0,0,19,0,7,7,8,8,Graduate
9,0,0,1,0,0,19,0,10,5,10,8,Graduate
6,0,0,1,0,0,19,0,5,3,5,3,Enrolled
11,0,0,1,0,0,18,0,6,6,6,3,Graduate
12,0,0,1,0,0,19,0,7,6,7,6,Graduate
10,0,1,1,0,0,18,0,6,6,6,5,Graduate
16,0,0,1,0,0,18,0,6,5,6,5,Enrolled
6,0,0,1,0,0,18,0,5,5,5,5,Enrolled
16,0,0,1,0,0,18,0,7,5,7,6,Enrolled
7,0,1,1,0,0,26,0,5,0,5,0,Dropout
10,0,0,1,0,0,20,0,6,6,6,6,Graduate
3,0,0,1,0,0,19,0,6,6,6,6,Graduate
10,0,0,1,0,1,18,0,6,6,6,6,Graduate
10,0,0,1,0,0,19,0,6,6,6,6,Graduate
16,0,1,1,0,0,40,0,7,7,7,7,Graduate
12,0,0,1,0,1,18,0,8,8,8,8,Graduate
10,0,0,1,0,0,19,0,6,5,6,6,Graduate
8,0,0,1,0,0,18,0,5,4,5,4,Graduate
6,0,0,1,0,0,19,0,5,4,5,3,Enrolled
2,0,0,1,0,0,18,0,0,0,0,0,Dropout
3,0,0,1,0,0,33,0,6,6,6,6,Graduate
4,0,0,1,0,0,35,0,6,6,6,6,Graduate
9,0,0,1,0,0,26,0,5,4,5,2,Enrolled
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
10,0,0,1,0,0,36,0,16,13,13,9,Enrolled
17,0,0,1,0,0,39,0,5,5,5,5,Graduate
10,0,0,1,0,0,44,0,6,6,6,6,Graduate
3,0,0,1,0,0,20,0,6,5,6,4,Enrolled
11,0,0,1,0,0,24,0,6,4,6,4,Dropout
15,0,0,1,0,1,20,0,6,6,6,6,Graduate
2,0,0,0,0,0,19,0,0,0,0,0,Dropout
12,0,1,1,0,1,18,0,7,6,7,6,Graduate
11,0,1,0,0,0,22,0,6,5,6,0,Dropout
6,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,24,0,7,6,8,7,Graduate
17,0,0,1,0,0,33,0,5,0,5,0,Dropout
4,0,1,1,0,1,30,0,6,0,6,0,Enrolled
6,0,0,1,0,0,26,0,6,0,6,0,Dropout
16,0,0,1,0,0,18,0,6,6,6,6,Graduate
15,0,1,1,0,0,19,0,6,3,6,2,Dropout
9,0,0,1,0,0,20,0,5,3,5,4,Enrolled
6,0,0,1,0,1,22,0,11,8,9,7,Graduate
12,0,0,1,0,0,19,0,7,5,7,5,Enrolled
6,0,0,1,0,1,21,0,6,6,6,6,Graduate
12,0,0,1,0,1,21,0,7,6,7,6,Graduate
6,0,0,1,0,0,19,0,5,1,5,5,Enrolled
16,0,0,1,0,1,19,0,7,7,7,6,Graduate
12,0,0,1,0,0,18,0,8,7,8,7,Dropout
3,0,0,1,0,0,50,0,11,11,7,7,Graduate
17,0,0,1,0,1,31,0,5,4,5,4,Enrolled
15,0,0,1,0,1,19,0,6,6,6,6,Graduate
17,0,0,1,0,0,35,0,5,5,5,5,Graduate
6,0,0,1,0,0,31,0,6,0,6,0,Dropout
3,0,1,1,0,0,42,0,11,10,11,10,Enrolled
9,0,0,0,0,0,34,0,5,0,5,0,Dropout
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
16,0,0,0,0,1,18,0,7,7,7,6,Enrolled
6,0,0,1,0,0,21,0,6,5,6,2,Enrolled
12,0,0,1,0,1,26,0,7,5,8,6,Dropout
12,0,0,1,0,0,20,0,7,6,8,8,Enrolled
10,0,0,1,0,0,19,0,6,3,6,3,Enrolled
16,0,0,1,0,1,19,0,6,6,6,6,Graduate
9,0,0,1,0,0,20,0,11,9,9,8,Graduate
10,0,0,1,0,0,19,0,6,6,6,6,Graduate
16,0,0,1,0,0,18,0,6,6,6,6,Graduate
17,0,0,1,0,0,28,0,14,11,11,10,Graduate
16,0,0,1,0,0,22,0,6,5,6,5,Enrolled
3,0,0,1,0,1,21,0,6,6,6,6,Graduate
6,0,0,1,0,0,21,0,6,4,6,1,Enrolled
12,1,0,1,0,0,26,0,7,5,8,5,Enrolled
15,0,1,0,0,0,18,0,6,5,6,5,Dropout
6,0,0,0,0,0,20,0,5,2,5,2,Dropout
6,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
10,0,0,1,0,0,20,0,11,11,11,11,Graduate
6,0,0,1,0,1,22,0,6,6,6,3,Graduate
14,0,1,1,0,0,18,0,6,5,6,4,Dropout
9,0,0,1,0,0,19,0,5,3,5,0,Dropout
5,0,0,1,0,1,18,0,6,5,6,4,Enrolled
11,0,0,1,0,0,20,0,6,3,6,3,Enrolled
15,1,0,1,0,0,19,0,6,4,6,3,Enrolled
11,0,0,1,0,0,19,0,6,6,6,4,Enrolled
12,0,0,1,0,0,19,0,8,7,8,7,Graduate
2,0,0,1,0,0,18,0,0,0,0,0,Graduate
5,0,0,1,0,0,21,0,13,13,12,12,Graduate
17,0,0,1,0,0,27,0,5,5,5,5,Graduate
10,0,0,1,0,0,19,0,6,6,6,6,Graduate
6,0,0,1,0,0,25,0,5,0,5,0,Dropout
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
12,0,0,1,0,0,24,0,8,7,8,7,Graduate
12,0,0,1,0,0,20,0,7,7,8,7,Graduate
17,0,0,1,0,0,26,0,5,5,5,5,Graduate
10,0,0,1,0,1,20,0,6,6,6,6,Graduate
6,0,0,1,0,0,18,0,5,5,5,5,Graduate
6,0,0,1,0,0,19,0,6,6,6,6,Graduate
16,0,0,1,0,0,23,0,6,5,6,3,Dropout
12,0,0,1,0,1,18,0,7,6,7,6,Graduate
12,0,0,1,0,0,18,0,7,0,8,0,Dropout
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
17,0,0,1,0,0,30,0,7,7,5,5,Graduate
6,0,0,1,0,0,29,0,6,0,6,0,Dropout
12,0,0,1,0,0,19,0,8,8,8,8,Graduate
13,0,0,1,0,0,20,0,7,7,8,8,Graduate
12,0,0,1,0,0,20,0,7,6,7,6,Graduate
14,0,0,1,0,0,19,0,6,6,6,6,Graduate
9,0,0,1,0,0,20,0,5,3,5,2,Enrolled
6,0,0,1,0,0,21,0,5,0,5,0,Dropout
14,0,0,1,0,0,19,0,6,5,6,4,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
3,0,0,1,0,1,27,0,6,6,6,5,Graduate
9,0,0,1,0,1,19,0,5,5,5,5,Graduate
12,0,0,1,0,1,19,0,7,0,7,0,Dropout
15,0,0,1,0,0,19,0,6,5,6,6,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
11,0,0,1,0,1,20,0,6,4,6,6,Enrolled
14,0,0,1,0,1,18,0,6,6,6,6,Graduate
14,0,0,1,0,0,19,0,6,0,6,0,Dropout
12,0,0,1,0,0,36,0,7,6,7,6,Graduate
13,0,0,1,0,0,18,0,2,0,4,1,Enrolled
8,0,1,1,0,0,18,0,5,1,5,3,Enrolled
12,0,0,1,0,0,19,0,8,7,8,7,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
14,0,0,1,0,0,18,0,5,4,5,4,Graduate
10,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Dropout
15,0,0,1,0,0,20,0,6,6,6,5,Graduate
11,0,0,1,0,1,20,0,6,5,6,5,Enrolled
12,0,0,1,0,0,20,0,8,7,8,7,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
6,0,0,1,0,0,19,0,5,5,5,5,Graduate
9,0,0,1,0,0,19,0,5,5,5,4,Enrolled
3,0,0,1,0,0,44,0,6,6,6,2,Graduate
4,0,0,1,0,0,32,0,6,0,6,0,Dropout
16,0,0,1,0,0,22,0,6,5,6,5,Dropout
4,0,0,1,0,0,36,0,12,12,12,11,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
8,0,0,1,0,0,20,0,5,5,5,5,Graduate
5,0,0,1,0,1,20,0,11,11,11,11,Graduate
10,0,0,1,0,0,19,0,6,5,6,4,Graduate
9,0,1,1,0,0,24,0,5,5,5,5,Graduate
10,0,0,1,0,0,20,0,6,5,6,4,Enrolled
3,0,0,1,0,0,27,0,10,9,11,5,Dropout
16,0,0,1,0,0,20,0,6,5,8,8,Enrolled
10,0,0,1,0,1,23,0,16,16,13,13,Graduate
12,0,0,1,0,1,18,0,8,8,8,8,Graduate
10,0,0,1,0,1,18,0,6,5,6,5,Graduate
12,0,0,1,0,1,20,0,8,7,8,7,Graduate
11,0,0,1,0,1,20,0,6,6,6,6,Graduate
